rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
1,Walmart,1,500343 ,3.00%,9862.00 ,-27.70%,204522 ,263563 ,2300000,C. Douglas McMillon,"President, Chief Executive Officer &  Director",Retailing,General Merchandisers,24,Bentonville,AR,36.372853799999994,-94.2088172
2,Exxon Mobil,4,244363 ,17.40%,19710.00 ,151.40%,348691 ,316157 ,71200,Darren W. Woods,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,24,Irving,TX,32.814017699999994,-96.9488945
3,Berkshire Hathaway,2,242137 ,8.30%,44940.00 ,86.70%,702095 ,492008 ,377000,Warren E. Buffett,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),24,Omaha,NE,41.2565369,-95.93450340000001
4,Apple,3,229234 ,6.30%,48351.00 ,5.80%,375319 ,851318 ,123000,Timothy D. Cook,Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",24,Cupertino,CA,37.322997799999996,-122.03218229999999
5,UnitedHealth Group,6,201159 ,8.80%,10558.00 ,50.50%,139058 ,207080 ,260000,David S. Wichmann,Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,24,Minnetonka,MN,44.9211836,-93.46874890000001
6,McKesson,5,198533 ,3.10%,5070.00 ,124.50%,60969 ,29067 ,64500,John H. Hammergren,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,SF,CA,37.7749295,-122.4194155
7,CVS Health,7,184765 ,4.10%,6622.00 ,24.50%,95131 ,63114 ,203000,Larry J. Merlo,"President, Chief Executive Officer &  Director",Health Care,Health Care: Pharmacy and Other Services,24,Woonsocket,RI,42.0028761,-71.5147839
8,Amazon.com,12,177866 ,30.80%,3033.00 ,27.90%,131310 ,700668 ,566000,Jeffrey P. Bezos,"Chairman, President &  Chief Executive Officer",Retailing,Internet Services and Retailing,17,Seattle,WA,47.6062095,-122.33207079999998
9,AT&T,9,160546 ,-2.00%,29450.00 ,127.00%,444097 ,218946 ,254000,Randall L. Stephenson,"Chairman, President &  Chief Executive Officer",Telecommunications,Telecommunications,24,Dallas,TX,32.7766642,-96.7969879
10,General Motors,8,157311 ,-5.50%,(3864.00),-141.00%,212482 ,50972 ,180000,Mary T. Barra,Chairman &  Chief Executive Officer,Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Detroit,MI,42.331427000000005,-83.0457538
