Rank,Company Name,Number of Employees,Previous Rank,Revenues ($m),Revenue Change,Profits ($m),Profit Change,Assets ($m),Market Value ($m)
1,Walmart,2300000,1.0,485873,0.8%,13643.0,-7.2%,198825,218619
2,Berkshire Hathaway,367700,4.0,223604,6.1%,24074.0,0.0%,620854,411035
3,Apple,116000,3.0,215639,-7.7%,45687.0,-14.4%,321686,753718
4,Exxon Mobil,72700,2.0,205004,-16.7%,7840.0,-51.5%,330314,340056
5,McKesson,68000,5.0,192487,6.2%,2258.0,53.0%,56563,31439
6,UnitedHealth Group,230000,6.0,184840,17.7%,7017.0,20.7%,122810,157793
7,CVS Health,204000,7.0,177526,15.8%,5317.0,1.5%,94462,81310
8,General Motors,225000,8.0,166380,9.2%,9427.0,-2.7%,221690,52968
9,AT&T,268540,10.0,163786,11.6%,12976.0,-2.8%,403821,255679
10,Ford Motor,201000,9.0,151800,1.5%,4596.0,-37.7%,237951,46349
11,AmerisourceBergen,18500,12.0,146850,8.0%,1427.9,-,33656,19229
12,Amazon.com,341400,18.0,135987,27.1%,2371.0,297.8%,83402,423031
13,General Electric,295000,11.0,126661,-9.8%,8831.0,-,365183,259520
14,Verizon,160900,13.0,125980,-4.3%,13127.0,-26.6%,244180,198900
15,Cardinal Health,37300,21.0,121546,18.5%,1427.0,17.4%,34122,25725
16,Costco,172000,15.0,118719,2.2%,2350.0,-1.1%,33163,73606
17,Walgreens Boots Alliance,300000,19.0,117351,13.4%,4173.0,-1.1%,72688,89645
18,Kroger,443000,17.0,115337,5.0%,1975.0,-3.1%,36505,26961
19,Chevron,55200,14.0,107567,-18.0%,-497.0,-110.8%,260078,203263
20,Fannie Mae,7000,16.0,107162,-2.9%,12313.0,12.4%,3287968,3011
21,J.P. Morgan Chase,243355,23.0,105486,4.4%,24733.0,1.2%,2490972,313761
22,Express Scripts Holding,25600,22.0,100288,-1.4%,3404.4,37.5%,51745,39567
23,Home Depot,406000,28.0,94595,6.9%,7957.0,13.5%,42966,176368
24,Boeing,150540,24.0,94571,-1.6%,4895.0,-5.4%,89997,107546
25,Wells Fargo,269100,27.0,94176,4.6%,21938.0,-4.2%,1930115,278516
26,Bank of America Corp.,208024,26.0,93662,0.7%,17906.0,12.7%,2187702,236182
27,Alphabet,72053,36.0,90272,20.4%,19478.0,19.1%,167497,579426
28,Microsoft,114000,25.0,85320,-8.8%,16798.0,37.8%,193694,508935
29,Anthem,53000,33.0,84863,7.2%,2469.8,-3.5%,65083,43813
30,Citigroup,219000,29.0,82386,-6.7%,14912.0,-13.5%,1792077,165394
31,Comcast,159000,37.0,80403,7.9%,8695.0,6.5%,180500,178258
32,IBM,414400,31.0,79919,-3.1%,11872.0,-10.0%,117470,164251
33,State Farm Insurance Cos.,68234,35.0,76132,0.6%,350.3,-94.4%,256030,-
34,Phillips 66,14800,30.0,72396,-16.9%,1555.0,-63.2%,51653,40954
35,Johnson & Johnson,126400,39.0,71890,2.6%,16540.0,7.3%,141208,337642
36,Procter & Gamble,105000,34.0,71726,-8.9%,10508.0,49.3%,127136,229700
37,Valero Energy,9996,32.0,70166,-14.2%,2289.0,-42.6%,46173,29746
38,Target,323000,38.0,69495,-5.8%,2737.0,-18.6%,37431,30502
39,Freddie Mac,5982,43.0,65665,3.4%,7815.0,22.6%,2023376,1612
40,LoweÕs,240000,47.0,65017,10.1%,3093.0,21.5%,34408,70481
41,Dell Technologies,138000,,64806,18.1%,-1672.0,-,118206,-
42,MetLife,58000,40.0,63476,-9.3%,800.0,-84.9%,898764,57429
43,Aetna,49500,46.0,63155,4.7%,2271.0,-5.0%,69146,44859
44,PepsiCo,264000,44.0,62799,-0.4%,6329.0,16.1%,74129,159763
45,Archer Daniels Midland,31800,41.0,62346,-7.9%,1279.0,-30.8%,39769,26274
46,UPS,335520,48.0,60906,4.4%,3431.0,-29.2%,40377,93276
47,Intel,106000,51.0,59387,7.3%,10316.0,-9.7%,113327,170539
48,Prudential Financial,49739,50.0,58779,2.9%,4368.0,-22.6%,783962,45912
49,Albertsons Cos.,274000,,58734,115.9%,-502.2,-,23770,-
50,United Technologies,201600,45.0,57244,-6.2%,5055.0,-33.6%,89706,89957
51,Marathon Petroleum,44460,42.0,55858,-13.5%,1174.0,-58.8%,44413,26679
52,Disney,195000,53.0,55632,6.0%,9391.0,12.0%,92033,179298
53,Humana,51600,52.0,54379,0.2%,614.0,-51.9%,25396,29743
54,Pfizer,96500,55.0,52824,8.1%,7215.0,3.7%,171615,203725
55,AIG,56400,49.0,52367,-10.2%,-849.0,-138.7%,498264,61154
56,Lockheed Martin,97000,60.0,50658,9.8%,5302.0,47.1%,47806,77557
57,Sysco,51900,57.0,50367,3.5%,949.6,38.3%,16722,28048
58,FedEx,335767,58.0,50365,6.1%,1820.0,73.3%,46064,52178
59,Hewlett Packard Enterprise,195000,,50123,-,3161.0,-,79679,39288
60,Cisco Systems,73700,54.0,49247,0.2%,10739.0,19.6%,121652,169266
61,HP,49000,20.0,48238,-53.3%,2496.0,-45.2%,29010,30231
62,Dow Chemical,56000,56.0,48158,-1.3%,4318.0,-43.8%,79511,77460
63,HCA Holdings,210500,63.0,44747,2.7%,2890.0,35.7%,33758,32966
64,Coca-Cola,100300,62.0,41863,-5.5%,6527.0,-11.2%,87270,182153
65,New York Life Insurance,11320,61.0,40787,-11.1%,1088.1,324.1%,287196,-
66,Centene,30500,124.0,40721,78.6%,562.0,58.3%,20197,12271
67,American Airlines Group,122300,67.0,40180,-2.0%,2676.0,-64.8%,51274,21326
68,Nationwide,34320,69.0,40074,-0.4%,334.3,-42.4%,197790,-
69,Merck,68000,72.0,39807,0.8%,3920.0,-11.8%,95377,174454
70,Cigna,41000,79.0,39668,4.7%,1867.0,-10.8%,59360,37604
71,Delta Air Lines,83756,68.0,39639,-2.6%,4373.0,-3.4%,51261,33586
72,Best Buy,125000,71.0,39403,-0.9%,1228.0,36.9%,13856,15193
73,Honeywell International,131000,75.0,39302,1.9%,4809.0,0.9%,54146,94991
74,Caterpillar,95400,59.0,38537,-18.0%,-67.0,-103.2%,74704,54402
75,Liberty Mutual Insurance Group,50000,73.0,38308,-2.9%,1006.0,95.7%,125592,-
76,Morgan Stanley,55311,78.0,37949,0.1%,5979.0,-2.4%,814949,79947
77,Massachusetts Mutual Life Insurance,11737,76.0,37788,-1.2%,1273.5,-10.6%,271040,-
78,Goldman Sachs Group,34400,74.0,37712,-3.8%,7398.0,21.6%,860165,91380
79,Energy Transfer Equity,30992,65.0,37504,-11.0%,995.0,-16.3%,79011,21292
80,TIAA,12997,82.0,37105,5.5%,1492.3,22.9%,523194,-
81,Oracle,136000,77.0,37047,-3.1%,8901.0,-10.4%,112180,183556
82,Tyson Foods,114000,66.0,36881,-10.9%,1768.0,44.9%,22373,22028
83,United Continental Holdings,88000,80.0,36556,-3.5%,2263.0,-69.2%,40140,22225
84,Allstate,43275,81.0,36534,2.5%,1877.0,-13.5%,108610,29754
85,Publix Super Markets,191000,87.0,34274,5.1%,2025.7,3.1%,17464,-
86,American Express,56400,85.0,33823,-1.8%,5408.0,4.7%,158893,71193
87,TJX,235000,89.0,33184,7.2%,2298.2,0.9%,12884,51053
88,Nike,70700,91.0,32376,5.8%,3760.0,14.9%,21396,92204
89,Exelon,34396,95.0,31360,6.5%,1134.0,-50.0%,114904,33309
90,General Dynamics,98800,88.0,31353,-0.4%,2955.0,-0.3%,32872,56791
91,Rite Aid,70580,107.0,30737,15.9%,165.5,-92.2%,11277,4473
92,Gilead Sciences,9000,86.0,30390,-6.9%,13501.0,-25.4%,56977,88788
93,CHS,12157,84.0,30347,-12.2%,424.2,-45.7%,17318,-
94,3M,91584,93.0,30109,-0.5%,5050.0,4.5%,32906,114338
95,Time Warner,25000,99.0,29318,4.3%,3926.0,2.4%,65966,75660
96,Charter Communications,91500,292.0,29003,197.3%,3522.0,-,149067,100595
97,Northwestern Mutual,5646,100.0,28799,2.4%,818.0,0.4%,250441,-
98,Facebook,17048,157.0,27638,54.2%,10217.0,177.0%,64961,410522
99,Travelers Cos.,30900,105.0,27625,3.1%,3014.0,-12.4%,100245,33689
100,Capital One Financial,47300,112.0,27519,9.6%,3751.0,-7.4%,357033,41831
101,Twenty-First Century Fox,21500,96.0,27326,-5.7%,2755.0,-66.8%,48365,59949
102,USAA,29943,114.0,27131,11.4%,1779.1,-21.7%,147290,-
103,World Fuel Services,5000,92.0,27016,-11.1%,126.5,-27.5%,5413,2535
104,Philip Morris International,79500,106.0,26685,-0.4%,6967.0,1.4%,36851,175349
105,Deere,56767,97.0,26644,-7.7%,1523.9,-21.4%,57981,34648
