# ----------------------------------------
# 1 Master View
# Demographics: Age Gender
# 20141001-20200229
# ----------------------------------------

Age,Gender,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
25-34,male,"482,345","452,492","652,534",41.00%,5.30,00:02:48,"12,222","$1,933,359.76",1.87%,25.74%
18-24,male,"311,710","298,265","385,927",46.43%,4.42,00:02:17,"3,366","$345,071.89",0.87%,18.38%
35-44,male,"260,897","247,069","366,554",39.39%,5.50,00:02:57,"10,060","$1,718,103.43",2.74%,29.12%
25-34,female,"209,810","196,366","294,480",41.93%,5.43,00:03:12,"7,114","$1,313,512.44",2.42%,26.93%
18-24,female,"140,928","133,969","178,169",49.86%,4.05,00:02:23,"1,624","$200,667.86",0.91%,16.71%
45-54,male,"106,871","99,747","136,331",43.70%,4.98,00:02:31,"2,882","$432,043.43",2.11%,23.90%
35-44,female,"89,741","84,697","125,851",43.11%,5.49,00:03:08,"3,238","$729,248.65",2.57%,28.59%
55-64,male,"46,207","44,009","55,410",49.42%,4.10,00:02:09,675,"$81,556.50",1.22%,18.34%
45-54,female,"43,206","41,300","55,401",46.94%,5.08,00:02:57,775,"$103,495.22",1.40%,23.59%
65+,male,"35,572","33,976","40,625",56.76%,3.22,00:01:44,228,"$38,038.44",0.56%,11.47%
55-64,female,"25,074","24,171","31,549",53.57%,4.34,00:02:15,265,"$20,473.97",0.84%,17.90%
65+,female,"16,044","15,478","19,191",58.98%,3.15,00:01:37,146,"$23,917.51",0.76%,11.74%
,,"1,768,405","1,671,539","2,342,022",43.63%,5.00,00:02:42,"42,595","$6,939,489.12",1.82%,23.87%

Day Index,Users,Avg. Order Value
10/1/14,0,$0.00
10/2/14,0,$0.00
10/3/14,0,$0.00
10/4/14,0,$0.00
10/5/14,0,$0.00
10/6/14,0,$0.00
10/7/14,0,$0.00
10/8/14,0,$0.00
10/9/14,0,$0.00
10/10/14,"2,691",$40.60
10/11/14,"2,180",$47.76
10/12/14,"2,189",$0.00
10/13/14,"2,645",$51.06
10/14/14,"2,034",$223.29
10/15/14,410,$0.00
10/16/14,274,$0.00
10/17/14,246,$0.00
10/18/14,182,$0.00
10/19/14,192,$0.00
10/20/14,246,$0.00
10/21/14,"1,113",$0.00
10/22/14,"2,216",$0.00
10/23/14,"2,527",$0.00
10/24/14,"2,381",$0.00
10/25/14,"1,405",$0.00
10/26/14,"2,143",$0.00
10/27/14,"2,855",$0.00
10/28/14,"2,572",$0.00
10/29/14,"2,700",$0.00
10/30/14,"3,238",$0.00
10/31/14,"2,545",$0.00
11/1/14,"1,414",$0.00
11/2/14,"1,614",$0.00
11/3/14,"2,025",$0.00
11/4/14,"2,080",$0.00
11/5/14,"2,125",$0.00
11/6/14,"1,788",$0.00
11/7/14,"1,806",$0.00
11/8/14,"1,578",$0.00
11/9/14,"1,706",$0.00
11/10/14,"2,171",$0.00
11/11/14,"1,961",$0.00
11/12/14,"2,025",$0.00
11/13/14,"1,943",$0.00
11/14/14,"1,815",$0.00
11/15/14,"1,879",$0.00
11/16/14,"1,915",$0.00
11/17/14,"2,153",$0.00
11/18/14,"1,979",$0.00
11/19/14,0,$0.00
11/20/14,0,$0.00
11/21/14,0,$0.00
11/22/14,0,$0.00
11/23/14,0,$0.00
11/24/14,0,$0.00
11/25/14,0,$0.00
11/26/14,0,$0.00
11/27/14,0,$0.00
11/28/14,0,$0.00
11/29/14,0,$0.00
11/30/14,0,$0.00
12/1/14,0,$0.00
12/2/14,0,$0.00
12/3/14,0,$0.00
12/4/14,0,$0.00
12/5/14,0,$0.00
12/6/14,0,$0.00
12/7/14,0,$0.00
12/8/14,0,$0.00
12/9/14,0,$0.00
12/10/14,0,$0.00
12/11/14,0,$0.00
12/12/14,0,$0.00
12/13/14,0,$0.00
12/14/14,0,$0.00
12/15/14,0,$0.00
12/16/14,0,$0.00
12/17/14,0,$0.00
12/18/14,0,$0.00
12/19/14,0,$0.00
12/20/14,0,$0.00
12/21/14,0,$0.00
12/22/14,0,$0.00
12/23/14,0,$0.00
12/24/14,0,$0.00
12/25/14,0,$0.00
12/26/14,0,$0.00
12/27/14,0,$0.00
12/28/14,0,$0.00
12/29/14,0,$0.00
12/30/14,0,$0.00
12/31/14,0,$0.00
1/1/15,0,$0.00
1/2/15,0,$0.00
1/3/15,0,$0.00
1/4/15,0,$0.00
1/5/15,0,$0.00
1/6/15,0,$0.00
1/7/15,0,$0.00
1/8/15,0,$0.00
1/9/15,0,$0.00
1/10/15,0,$0.00
1/11/15,0,$0.00
1/12/15,0,$0.00
1/13/15,0,$0.00
1/14/15,0,$0.00
1/15/15,0,$0.00
1/16/15,0,$0.00
1/17/15,0,$0.00
1/18/15,0,$0.00
1/19/15,0,$0.00
1/20/15,0,$0.00
1/21/15,0,$0.00
1/22/15,0,$0.00
1/23/15,0,$0.00
1/24/15,0,$0.00
1/25/15,0,$0.00
1/26/15,0,$0.00
1/27/15,0,$0.00
1/28/15,0,$0.00
1/29/15,0,$0.00
1/30/15,0,$0.00
1/31/15,0,$0.00
2/1/15,0,$0.00
2/2/15,0,$0.00
2/3/15,0,$0.00
2/4/15,0,$0.00
2/5/15,0,$0.00
2/6/15,0,$0.00
2/7/15,0,$0.00
2/8/15,0,$0.00
2/9/15,0,$0.00
2/10/15,0,$0.00
2/11/15,0,$0.00
2/12/15,0,$0.00
2/13/15,0,$0.00
2/14/15,0,$0.00
2/15/15,0,$0.00
2/16/15,0,$0.00
2/17/15,0,$0.00
2/18/15,0,$0.00
2/19/15,0,$0.00
2/20/15,0,$0.00
2/21/15,0,$0.00
2/22/15,0,$0.00
2/23/15,0,$0.00
2/24/15,0,$0.00
2/25/15,0,$0.00
2/26/15,0,$0.00
2/27/15,0,$0.00
2/28/15,0,$0.00
3/1/15,0,$0.00
3/2/15,0,$0.00
3/3/15,0,$0.00
3/4/15,0,$0.00
3/5/15,0,$0.00
3/6/15,0,$0.00
3/7/15,0,$0.00
3/8/15,0,$0.00
3/9/15,0,$0.00
3/10/15,0,$0.00
3/11/15,0,$0.00
3/12/15,0,$0.00
3/13/15,0,$0.00
3/14/15,0,$0.00
3/15/15,0,$0.00
3/16/15,0,$0.00
3/17/15,0,$0.00
3/18/15,0,$0.00
3/19/15,0,$0.00
3/20/15,0,$0.00
3/21/15,0,$0.00
3/22/15,0,$0.00
3/23/15,0,$0.00
3/24/15,0,$0.00
3/25/15,0,$0.00
3/26/15,0,$0.00
3/27/15,0,$0.00
3/28/15,0,$0.00
3/29/15,0,$0.00
3/30/15,0,$0.00
3/31/15,0,$0.00
4/1/15,0,$0.00
4/2/15,0,$0.00
4/3/15,0,$0.00
4/4/15,0,$0.00
4/5/15,0,$0.00
4/6/15,0,$0.00
4/7/15,0,$0.00
4/8/15,0,$0.00
4/9/15,0,$0.00
4/10/15,0,$0.00
4/11/15,0,$0.00
4/12/15,0,$0.00
4/13/15,0,$0.00
4/14/15,0,$0.00
4/15/15,0,$0.00
4/16/15,0,$0.00
4/17/15,0,$0.00
4/18/15,0,$0.00
4/19/15,0,$0.00
4/20/15,0,$0.00
4/21/15,0,$0.00
4/22/15,0,$0.00
4/23/15,0,$0.00
4/24/15,0,$0.00
4/25/15,0,$0.00
4/26/15,0,$0.00
4/27/15,0,$0.00
4/28/15,0,$0.00
4/29/15,0,$0.00
4/30/15,0,$0.00
5/1/15,0,$0.00
5/2/15,0,$0.00
5/3/15,0,$0.00
5/4/15,0,$0.00
5/5/15,0,$0.00
5/6/15,0,$0.00
5/7/15,0,$0.00
5/8/15,0,$0.00
5/9/15,0,$0.00
5/10/15,0,$0.00
5/11/15,0,$0.00
5/12/15,0,$0.00
5/13/15,0,$0.00
5/14/15,0,$0.00
5/15/15,0,$0.00
5/16/15,0,$0.00
5/17/15,0,$0.00
5/18/15,0,$0.00
5/19/15,0,$0.00
5/20/15,0,$0.00
5/21/15,0,$0.00
5/22/15,0,$0.00
5/23/15,0,$0.00
5/24/15,0,$0.00
5/25/15,0,$0.00
5/26/15,0,$0.00
5/27/15,0,$0.00
5/28/15,0,$0.00
5/29/15,0,$0.00
5/30/15,0,$0.00
5/31/15,0,$0.00
6/1/15,0,$0.00
6/2/15,0,$0.00
6/3/15,0,$0.00
6/4/15,0,$0.00
6/5/15,0,$0.00
6/6/15,0,$0.00
6/7/15,0,$0.00
6/8/15,0,$0.00
6/9/15,0,$0.00
6/10/15,0,$0.00
6/11/15,0,$0.00
6/12/15,0,$0.00
6/13/15,0,$0.00
6/14/15,0,$0.00
6/15/15,0,$0.00
6/16/15,0,$0.00
6/17/15,"1,842",$433.93
6/18/15,"1,797",$0.00
6/19/15,"1,651",$25.49
6/20/15,"1,250",$0.00
6/21/15,"1,468",$97.80
6/22/15,"1,842",$14.07
6/23/15,"1,824",$187.82
6/24/15,"1,660",$25.13
6/25/15,"1,861",$0.00
6/26/15,"1,697",$65.32
6/27/15,"1,259",$86.22
6/28/15,"1,295",$25.13
6/29/15,"1,578",$35.69
6/30/15,"1,678",$243.22
7/1/15,"1,560",$0.00
7/2/15,"1,304",$91.74
7/3/15,"1,167",$0.00
7/4/15,949,$0.00
7/5/15,"1,122",$91.43
7/6/15,"1,614",$75.00
7/7/15,"1,870",$163.20
7/8/15,"1,988",$77.11
7/9/15,"2,043",$192.48
7/10/15,"1,633",$0.00
7/11/15,"1,113",$13.23
7/12/15,"1,186",$27.87
7/13/15,"2,043",$98.39
7/14/15,"1,925",$4.36
7/15/15,"2,207",$37.46
7/16/15,"1,742",$75.33
7/17/15,"1,733",$0.00
7/18/15,"1,350",$0.00
7/19/15,"1,505",$8.72
7/20/15,"1,660",$0.00
7/21/15,"1,687",$51.82
7/22/15,"1,788",$11.45
7/23/15,"1,906",$0.00
7/24/15,"1,852",$86.26
7/25/15,"4,305",$0.00
7/26/15,"5,308",$44.79
7/27/15,"2,755",$0.00
7/28/15,"2,435",$17.13
7/29/15,"2,399",$63.13
7/30/15,"2,618",$204.25
7/31/15,"1,934",$0.00
8/1/15,"1,323",$22.72
8/2/15,"1,323",$11.90
8/3/15,"1,934",$275.43
8/4/15,"1,888",$465.62
8/5/15,"1,879",$54.45
8/6/15,"1,715",$54.72
8/7/15,"1,532",$780.66
8/8/15,"1,104",$198.88
8/9/15,"1,277",$0.00
8/10/15,"1,824",$166.86
8/11/15,"2,143",$0.00
8/12/15,"2,216",$181.43
8/13/15,"1,906",$135.50
8/14/15,"1,815",$25.20
8/15/15,"1,295",$18.68
8/16/15,"1,624",$0.00
8/17/15,"1,760","$1,059.93"
8/18/15,"1,934",$21.25
8/19/15,"1,833",$40.14
8/20/15,"1,906",$0.00
8/21/15,"2,517",$10.24
8/22/15,"1,277",$41.58
8/23/15,"1,441",$83.71
8/24/15,"1,925",$0.00
8/25/15,"1,779",$111.97
8/26/15,"1,979",$132.72
8/27/15,"1,842",$21.54
8/28/15,"1,788",$278.10
8/29/15,"1,323",$56.30
8/30/15,"1,350",$57.38
8/31/15,"1,842",$75.63
9/1/15,"2,791",$39.57
9/2/15,"2,554",$40.89
