# ----------------------------------------
# 1 Master View
# Product Performance
# 20141001-20200229
# ----------------------------------------

Product,Year,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Cart-to-Detail Rate,Buy-to-Detail Rate
Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2017,"$684,000.19","3,511","4,570",$149.67,1.30,$0.00,60.89%,33.65%
Nest® Cam Outdoor Security Camera - USA,2017,"$626,794.00","3,329","5,206",$120.40,1.56,$0.00,57.27%,26.71%
Nest® Cam Indoor Security Camera - USA,2017,"$525,758.00","3,230","4,402",$119.44,1.36,$0.00,47.78%,25.33%
Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2016,"$284,739.00","1,478","1,911",$149.00,1.29,$0.00,54.80%,25.07%
Nest Hello Doorbell - USA,2018,"$228,886.00","1,232","1,354",$169.04,1.10,$0.00,61.53%,47.49%
Nest® Protect Smoke + CO White Battery Alarm-USA,2017,"$212,777.00","1,362","2,683",$79.31,1.97,$0.00,64.03%,30.68%
Nest® Protect Smoke + CO White Wired Alarm-USA,2017,"$211,500.00","1,065","2,670",$79.21,2.51,$0.00,60.83%,26.86%
Nest® Learning Thermostat 3rd Gen-USA - White,2017,"$203,932.00","1,090","1,368",$149.07,1.26,$0.00,58.34%,31.28%
Nest® Cam Outdoor Security Camera - USA,2016,"$202,146.00","1,076","1,694",$119.33,1.57,$0.00,54.07%,26.63%
Nest® Secure Alarm System Starter Pack - USA,2018,"$184,621.00",521,529,$349.00,1.02,$0.00,35.86%,17.17%
Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2018,"$175,075.00",919,"1,175",$149.00,1.28,$0.00,63.46%,37.65%
Nest® Cam Outdoor Security Camera - USA,2018,"$170,646.00",911,"1,434",$119.00,1.57,$0.00,50.13%,26.66%
Nest® Cam Indoor Security Camera - USA,2018,"$156,723.00",977,"1,317",$119.00,1.35,$0.00,45.06%,32.18%
Nest® Cam IQ Outdoor - USA,2018,"$154,287.00",363,553,$279.00,1.52,$0.00,42.99%,23.02%
Nest® Cam IQ - USA,2017,"$153,429.00",599,771,$199.00,1.29,$0.00,36.71%,15.21%
Nest® Cam IQ - USA,2018,"$147,260.00",588,740,$199.00,1.26,$0.00,35.93%,18.14%
Nest® Cam Indoor Security Camera - USA,2016,"$137,129.00",839,"1,151",$119.14,1.37,$0.00,48.36%,22.77%
Nest® Protect Smoke + CO White Battery Alarm-USA,2018,"$109,810.00",696,"1,390",$79.00,2.00,$0.00,65.45%,34.80%
Nest® Thermostat E - USA,2017,"$101,178.00",793,"1,022",$99.00,1.29,$0.00,51.18%,22.85%
Nest® Protect Smoke + CO White Wired Alarm-USA,2018,"$98,987.00",503,"1,253",$79.00,2.49,$0.00,65.30%,34.83%
Nest® Learning Thermostat 3rd Gen-USA - White,2018,"$96,254.00",490,646,$149.00,1.32,$0.00,56.59%,33.45%
